filename,threshold
DTTR_LV.png, 0.875
PANL.png, 0.0667
DISC_LV.png, 0.950
LVMT_S.png, 0.97
ATSW_LV.png, 0.975
SPRT.png, 0.90
GENR.png, 0.98
LVCB.png, 0.96
MMME.png, 0.90
